Section 3 NASA SC(2)-0414			
XU	YU	XL	YL
6.00E-05	-1.33E-03	6.00E-05	-1.33E-03
3.40E-04	3.17E-03	3.40E-04	-2.46E-03
2.13E-03	7.83E-03	2.13E-03	-7.42E-03
5.76E-03	1.23E-02	5.76E-03	-1.20E-02
1.15E-02	1.65E-02	1.15E-02	-1.63E-02
1.98E-02	2.06E-02	1.98E-02	-2.04E-02
3.19E-02	2.47E-02	3.19E-02	-2.45E-02
5.04E-02	2.92E-02	5.04E-02	-2.90E-02
7.80E-02	3.39E-02	7.80E-02	-3.38E-02
1.12E-01	3.81E-02	1.12E-01	-3.81E-02
1.48E-01	4.15E-02	1.48E-01	-4.17E-02
1.85E-01	4.41E-02	1.85E-01	-4.44E-02
2.22E-01	4.62E-02	2.22E-01	-4.65E-02
2.60E-01	4.78E-02	2.60E-01	-4.80E-02
2.98E-01	4.89E-02	2.98E-01	-4.90E-02
3.37E-01	4.96E-02	3.37E-01	-4.95E-02
3.77E-01	5.00E-02	3.77E-01	-4.96E-02
4.16E-01	5.00E-02	4.16E-01	-4.92E-02
4.55E-01	4.98E-02	4.55E-01	-4.83E-02
4.93E-01	4.91E-02	4.93E-01	-4.68E-02
5.70E-01	4.68E-02	5.70E-01	-4.11E-02
6.09E-01	4.50E-02	6.09E-01	-3.65E-02
6.47E-01	4.27E-02	6.47E-01	-3.13E-02
6.86E-01	4.00E-02	6.86E-01	-2.52E-02
7.24E-01	3.68E-02	7.24E-01	-1.91E-02
7.63E-01	3.33E-02	7.63E-01	-1.29E-02
8.01E-01	2.95E-02	8.01E-01	-7.15E-03
8.79E-01	2.06E-02	8.79E-01	2.13E-03
9.17E-01	1.58E-02	9.17E-01	4.12E-03
9.53E-01	1.09E-02	9.53E-01	3.46E-03
9.84E-01	6.01E-03	9.84E-01	7.22E-04
1.00E+00	3.20E-03	1.00E+00	-1.70E-03
