Section 2 Naca 0020	

		
XU	YU	XL	YL
0.000000	0.000000	0.000000	-0.000000
0.009607	0.027859	0.009607	-0.027859
0.021530	0.040691	0.021530	-0.040691
0.038060	0.052633	0.038060	-0.052633
0.059039	0.063534	0.059039	-0.063534
0.084265	0.073236	0.084265	-0.073236
0.113495	0.081592	0.113495	-0.081592
0.146447	0.088471	0.146447	-0.088471
0.182803	0.093779	0.182803	-0.093779
0.222215	0.097464	0.222215	-0.097464
0.264302	0.099517	0.264302	-0.099517
0.308658	0.099981	0.308658	-0.099981
0.354858	0.098937	0.354858	-0.098937
0.402455	0.096508	0.402455	-0.096508
0.450991	0.092840	0.450991	-0.092840
0.500000	0.088103	0.500000	-0.088103
0.549009	0.082471	0.549009	-0.082471
0.597545	0.076124	0.597545	-0.076124
0.645142	0.069237	0.645142	-0.069237
0.691342	0.061981	0.691342	-0.061981
0.735698	0.054515	0.735698	-0.054515
0.777785	0.046996	0.777785	-0.046996
0.817197	0.039575	0.817197	-0.039575
0.853553	0.032397	0.853553	-0.032397
0.886505	0.025610	0.886505	-0.025610
0.915735	0.019356	0.915735	-0.019356
0.940961	0.013775	0.940961	-0.013775
0.961940	0.008998	0.961940	-0.008998
0.978470	0.005144	0.978470	-0.005144
0.990393	0.002313	0.990393	-0.002313
0.997592	0.000582	0.997592	-0.000582
1.000000	0.000000	1.000000	0.000000
